Mon:Rg,E10 ,LRC ,M15 ,M21 ,M24 ,MR2 ,SF1 ,SF2 ,SF4 ,T2 ,TRM ,,,,,,,,,,
Mon:1,ACL ,AD2 ,E4 ,IT1 ,LC7 ,LRC ,M13 ,M17 ,MR2 ,SL1 ,T2 ,TT ,TRM ,TT ,,,,,,,
Mon:2,ACL ,E10 ,E8 ,LC4 ,LC6 ,LRC ,M14 ,M18 ,M20 ,MR2 ,SF3 ,TT ,,,,,,,,,
Mon:3,IT1 ,IT2 ,LRC ,M15 ,M21 ,M24 ,MR2 ,SF1 ,SF2 ,T2 ,,,TT ,,,,,,,,
Mon:4,ABL ,AD2 ,E11 ,E4 ,LC2 ,LRC ,M23 ,MR2 ,PL ,SF1 ,SL3 ,T1 ,T2 ,,,,,,,,
Mon:5,AD1 ,E12 ,E4 ,E7 ,E8 ,IT1 ,LRC ,M15 ,M23 ,MR2 ,SF2 ,SF4 ,T1 ,T2 ,TF ,,,,,,
Tue:Rg,E10 ,LRC ,M15 ,M21 ,M24 ,MR2 ,SF1 ,SF2 ,SF4 ,T2 ,TRM ,,,,,,,,,,
Tue:1,E12 ,E4 ,E7 ,IT1 ,LRC ,M14 ,M15 ,MR2 ,T1 ,T2 ,TG1 ,TT ,,,,,,,,,
Tue:2,LC1 ,LC2 ,LC4 ,LC5 ,LRC ,MR2 ,SF4 ,T2 ,TF ,TG1 ,TT ,,,,,,,,,,
Tue:3,AD1 ,AD2 ,E4 ,IT1 ,LRC ,M17 ,M20 ,MR2 ,PL ,T2 ,TT ,,,,,,,,,,
Tue:4,AD1 ,E11 ,E12 ,E4 ,IT2 ,LC7 ,LC8 ,LRC ,M15 ,M21 ,M22 ,MR2 ,T1 ,T2 ,TT ,,,,,,
Tue:5,ABL ,E10 ,E4 ,E6 ,E7 ,E8 ,IT1 ,LC2 ,LC6 ,LC7 ,LC8 ,LRC ,M14 ,MR2 ,SF3 ,SL2 ,T1 ,T2 ,TF ,TG1 ,
Wed:Rg,E10 ,LRC ,M15 ,M21 ,M24 ,MR2 ,SF1 ,SF2 ,SF4 ,T2 ,TRM ,,,,,,,,,,
Wed:1,DRA ,E11 ,E4 ,E6 ,IT2 ,LRC ,M18 ,M21 ,M23 ,M24 ,MR2 ,SF2 ,T1 ,T2 ,TF ,,,,,,
Wed:2,E11 ,E12 ,E4 ,E6 ,LC2 ,LRC ,M15 ,M20 ,M22 ,MR2 ,SL2 ,T1 ,T2 ,TT ,,,,,,,
Wed:3,AD2 ,E4 ,IT2 ,LC3 ,LC5 ,LRC ,M13 ,M23 ,M24 ,MR2 ,SF1 ,SF3 ,T1 ,T2 ,,,,,,,
Wed:4,E10 ,E11 ,E4 ,E6 ,E7 ,E8 ,E9 ,IT2 ,LC2 ,LC3 ,LC5 ,LC7 ,MR2 ,SF2 ,SF3 ,SF5 ,T1 ,T2 ,TG2 ,TRM ,TT 
Wed:5,ACL ,E10 ,E11 ,E4 ,E6 ,E8 ,E9 ,LC2 ,LC3 ,LRC ,M18 ,M20 ,M21 ,M24 ,MR2 ,SF1 ,SF2 ,SF3 ,T1 ,T2 ,TF 
Thu:Rg,E10 ,LRC ,M15 ,M21 ,M24 ,MR2 ,SF1 ,SF2 ,SF4 ,T2 ,TRM ,,,,,,,,,,
Thu:1,ABL ,E10 ,E4 ,E6 ,LRC ,M15 ,M17 ,MR2 ,SF3 ,T1 ,T2 ,TF ,TG2 ,TRM ,TT ,,,,,,
Thu:2,E11 ,E4 ,E6 ,E9 ,LC2 ,LC5 ,LC6 ,LRC ,M13 ,MR2 ,SF3 ,T1 ,T2 ,TG2 ,TRM ,TT ,,,,,
Thu:3,ACL ,DRA ,E3 ,E6 ,E9 ,IT1 ,LC1 ,LC5 ,LRC ,M13 ,MR2 ,SF1 ,SF2 ,T2 ,TF ,TT ,,,,,
Thu:4,E11 ,E6 ,E8 ,IT1 ,LC5 ,LC8 ,LRC ,M13 ,MR2 ,SF2 ,T1 ,T2 ,TG1 ,TT ,,,,,,,
Thu:5,APL ,E12 ,E4 ,E6 ,LC1 ,LC3 ,LC4 ,LRC ,M24 ,MR2 ,SF1 ,SF2 ,SF3 ,SF4 ,SL1 ,SL3 ,T1 ,T2 ,TG1 ,TT ,
Fri:Reg,E10 ,LRC ,M15 ,M21 ,M24 ,MR2 ,SF1 ,SF2 ,SF4 ,T2 ,TRM ,,,,,,,,,,
Fri:1,ACL ,AD2 ,BL ,LC3 ,LC4 ,LC5 ,LRC ,MR2 ,T2 ,TG2 ,TRM ,TT ,,,,,,,,,
Fri:2,E10 ,E3 ,E9 ,IT1 ,LRC ,M24 ,MR2 ,T2 ,TT ,,,,,,,,,,,,
Fri:3,APL ,DRA ,E4 ,E7 ,LC4 ,LC7 ,LRC ,MR2 ,T2 ,TG1 ,TT ,,,,,,,,,,
Fri:4,ACL ,DRA ,E10 ,E11 ,LC1 ,LC3 ,LRC ,M14 ,M15 ,MR2 ,SF2 ,T2 ,TT ,,,,,,,,
Fri:5,AD1 ,AD2 ,E11 ,E3 ,E4 ,E8 ,LC1 ,LC2 ,LC3 ,LRC ,M15 ,MR2 ,SL2 ,T2 ,,,,,,,
